"locality","gen_sp","freq","when"
"hornillos","Nomada_illustris",1,"asensio"
"hornillos","Andrena_bimaculata",1,"asensio"
"hornillos","Lasioglossum_elegans",1,"asensio"
"hornillos","Andrena_numida",1,"asensio"
"hornillos","Heliophila_bimaculata",1,"asensio"
"hornillos","Colletes_spectabilis",1,"asensio"
"hornillos","Andrena_bimaculata",1,"asensio"
"hornillos","Tetralonia_dentata",1,"asensio"
"hornillos","Ceratina_chalcites",1,"asensio"
"hornillos","Prosopis_variegatus",1,"asensio"
"hornillos","Anthophora_acervorum",1,"asensio"
"hornillos","Heliophila_bimaculata",1,"asensio"
"hornillos","Tetralonia_dentata",1,"asensio"
"hornillos","Sphecodes_alternatus",1,"asensio"
"hornillos","Dasypoda_cingulata",1,"asensio"
"hornillos","Anthophora_agama",1,"asensio"
"hornillos","Sphecodes_gibbus",1,"asensio"
"hornillos","Colletes_abeillei",1,"asensio"
"hornillos","Colletes_similis",1,"asensio"
"hornillos","Thyreus_hirtus",1,"asensio"
"toro","Anthophora_acervorum",1,"asensio"
"toro","Andrena_flavipes",1,"asensio"
"toro","Anthophora_acervorum",1,"asensio"
"toro","Andrena_assimilis",1,"asensio"
"auditorio_Delibes","Metallinella_brevicornis",1,"asensio"
"auditorio_Delibes","Megachile_centuncularis",1,"asensio"
"auditorio_Delibes","Hoplitis_tridentata",5,"asensio"
"auditorio_Delibes","Eucera_tuberculata",1,"asensio"
"auditorio_Delibes","Eucera_tuberculata",1,"asensio"
"auditorio_Delibes","Eucera_tuberculata",1,"asensio"
"auditorio_Delibes","Eucera_tuberculata",1,"asensio"
